DATE,GDP
2014-01-01,17197.738
2014-04-01,17518.508
2014-07-01,17804.228
2014-10-01,17912.079
2015-01-01,18063.529
2015-04-01,18279.784
2015-07-01,18401.626
2015-10-01,18435.137
2016-01-01,18525.933
2016-04-01,18711.702
2016-07-01,18892.639
2016-10-01,19089.379
2017-01-01,19280.084
2017-04-01,19438.643
2017-07-01,19692.595
2017-10-01,20037.088
2018-01-01,20328.553
2018-04-01,20580.912
2018-07-01,20798.73
2018-10-01,20917.867
2019-01-01,21104.133
2019-04-01,21384.775
2019-07-01,21694.282
2019-10-01,21902.39
2020-01-01,21706.513
2020-04-01,19913.143
2020-07-01,21647.64
2020-10-01,22024.502
2021-01-01,22600.185
2021-04-01,23292.362
2021-07-01,23828.973
2021-10-01,24654.603
2022-01-01,25029.116
2022-04-01,25544.273
2022-07-01,25994.639
2022-10-01,26408.405
2023-01-01,26813.601
2023-04-01,27063.012
2023-07-01,27644.463
